cyrl	latn
А	A
а	a
Ӓ	Ä
ӓ	ä
Ӓ̄	Ạ̈
ӓ̄	ạ̈
Ӑ	Ă
ӑ	ă
А̄	Ā
а̄	ā
Ӕ	Æ
ӕ	æ
А́	Á
а́	á
А̊	Å
а̊	å
Б	B
б	b
В	V
в	v
Г	G
г	g
Ґ	G̀
ґ	g̀
Ѓ	Ǵ
ѓ	ǵ
Ғ	Ġ
ғ	ġ
Ҕ	Ğ
ҕ	ğ
Һ	Ḥ
һ	ḥ
Д	D
д	d
Ђ	Đ
ђ	đ
Е	E
е	e
Ӗ	Ĕ
ӗ	ĕ
Ё	Ë
ё	ë
Є	Ê
є	ê
Ж	Ž
ж	ž
Җ	Ž̦
җ	ž̦
Җ	Ž̧
җ	ž̧
Ӝ	Z̄
ӝ	z̄
Ӂ	Z̆
ӂ	z̆
З	Z
з	z
Ӟ	Z̈
ӟ	z̈
Ӡ	Ź
ӡ	ź
Ѕ	Ẑ
ѕ	ẑ
И	I
и	i
Ӣ	Ī
ӣ	ī
И́	Í
и́	í
Ӥ	Î
ӥ	î
Й	J
й	j
І	Ì
і	ì
Ї	Ï
ї	ï
І̄	Ǐ
і̄	ǐ
Ј	J̌
ј	ǰ
Ј̵	J́
ј̵	j́
К	K
к	k
Ќ	Ḱ
ќ	ḱ
Ӄ	Ḳ
ӄ	ḳ
Ҝ	K̂
ҝ	k̂
Ҡ	Ǩ
ҡ	ǩ
Ҟ	K̄
ҟ	k̄
Қ	K̦
қ	k̦
Қ	Ķ
қ	ķ
К̨	K̀
к̨	k̀
Ԛ	Q
ԛ	q
Л	L
л	l
Љ	L̂
љ	l̂
Ԡ	L̦
ԡ	l̦
Ԡ	Ļ
ԡ	ļ
М	M
м	m
Н	N
н	n
Њ	N̂
њ	n̂
Ң	N̦
ң	n̦
Ң	Ņ
ң	ņ
Ӊ	Ṇ
ӊ	ṇ
Ҥ	Ṅ
ҥ	ṅ
Ԋ	Ǹ
ԋ	ǹ
Ԣ	Ń
ԣ	ń
Ӈ	Ň
ӈ	ň
Н̄	N̄
н̄	n̄
О	O
о	o
Ӧ	Ö
ӧ	ö
Ө	Ô
ө	ô
Ӫ	Ő
ӫ	ő
Ӧ̄	Ọ̈
о̄̈	ọ̈
Ҩ	Ò
ҩ	ò
О́	Ó
о́	ó
О̄	Ō
о̄	ō
Œ	Œ
œ	œ
П	P
п	p
Ҧ	Ṕ
ҧ	ṕ
Ԥ	P̀
ԥ	p̀
Р	R
р	r
С	S
с	s
Ҫ	Ș
ҫ	ș
Ҫ	Ş
ҫ	ş
С̀	S̀
с̀	s̀
Т	T
т	t
Ћ	Ć
ћ	ć
Ԏ	T̀
ԏ	t̀
Т̌	Ť
т̌	ť
Ҭ	Ț
ҭ	ț
Ҭ	Ţ
ҭ	ţ
У	U
у	u
Ӱ	Ü
ӱ	ü
Ӯ	Ū
ӯ	ū
Ў	Ŭ
ў	ŭ
Ӳ	Ű
ӳ	ű
У́	Ú
у́	ú
Ӱ̄	Ụ̈
ӱ̄	ụ̈
Ӱ̄	Ụ̄
ӱ̄	ụ̄
Ү	Ù
ү	ù
Ұ	U̇
ұ	u̇
Ԝ	W
ԝ	w
Ф	F
ф	f
Х	H
х	h
Ҳ	H̦
ҳ	h̦
Ҳ	Ḩ
ҳ	ḩ
Ц	C
ц	c
Ҵ	C̄
ҵ	c̄
Џ	D̂
џ	d̂
Ч	Č
ч	č
Ҷ	C̦
ҷ	c̦
Ҷ	Ç
ҷ	ç
Ӌ	C̣
ӌ	c̣
Ӵ	C̈
ӵ	c̈
Ҹ	Ĉ
ҹ	ĉ
Ч̀	C̀
ч̀	c̀
Ҽ	C̆
ҽ	c̆
Ҿ	C̨̆
ҿ	c̨̆
Ш	Š
ш	š
Щ	Ŝ
щ	ŝ
Ъ	ʺ
ъ	ʺ
Ы	Y
ы	y
Ӹ	Ÿ
ӹ	ÿ
Ы̄	Ȳ
ы̄	ȳ
Ь	ʹ
ь	ʹ
Э	È
э	è
Ә	A̋
ә	a̋
Ӛ	À
ӛ	à
Ю	Û
ю	û
Ю̄	Û̄
ю̄	û̄
Я	Â
я	â
Ѣ	Ě
ѣ	ě
Ѫ	Ǎ
ѫ	ǎ
Ѳ	F̀
ѳ	f̀
Ѵ	Ỳ
ѵ	ỳ
Ӏ	‡
